2020中国大学排行榜(完整榜单)
校友会大学排名 软科大学排名 武书连大学排名 QS大学排名
泰晤士 ESI Usnews 更多排名
名次 学校名称 全国排名 星级排名 办学层次
1 北京大学 1 8★ 世界一流大学
2 复旦大学 3 8★ 世界一流大学
3 浙江大学 4 8★ 世界一流大学
4 南京大学 5 8★ 世界一流大学
5 上海交通大学 6 8★ 世界一流大学
6 中国人民大学 9 8★ 世界一流大学
7 武汉大学 10 7★ 世界知名高水平大学
8 南开大学 12 7★ 世界知名高水平大学
9 山东大学 13 7★ 世界知名高水平大学
10 中山大学 14 7★ 世界知名高水平大学
11 西安交通大学 15 7★ 世界知名高水平大学
12 东南大学 17 7★ 世界知名高水平大学
13 四川大学 18 7★ 世界知名高水平大学
14 吉林大学 19 7★ 世界知名高水平大学
15 厦门大学 23 7★ 世界知名高水平大学
16 中南大学 25 7★ 世界知名高水平大学
17 湖南大学 27 6★ 世界高水平大学
18 兰州大学 31 6★ 世界高水平大学
19 重庆大学 35 6★ 世界高水平大学
20 郑州大学 40 5★ 中国一流大学
21 中国海洋大学 41 6★ 世界高水平大学
22 南昌大学 49 5★ 中国一流大学
23 暨南大学 53 5★ 中国一流大学
24 西南大学 54 5★ 中国一流大学
25 西北大学 57 5★ 中国一流大学
26 苏州大学 59 5★ 中国一流大学
27 云南大学 65 5★ 中国一流大学
27 上海大学 65 4★ 中国高水平大学
29 河南大学 69 4★ 中国高水平大学
30 宁波大学 75 4★ 中国高水平大学
31 江南大学 80 5★ 中国一流大学
32 河北大学 87 4★ 中国高水平大学
33 扬州大学 89 4★ 中国高水平大学
34 江苏大学 90 4★ 中国高水平大学
35 辽宁大学 91 4★ 中国高水平大学
36 山西大学 94 4★ 中国高水平大学
37 河南科技大学 98 4★ 中国高水平大学
38 深圳大学 107 4★ 中国高水平大学
39 安徽大学 117 4★ 中国高水平大学
40 黑龙江大学 118 4★ 中国高水平大学
41 湘潭大学 119 4★ 中国高水平大学
42 广西大学 127 4★ 中国高水平大学
43 广州大学 128 3★ 区域一流大学
44 内蒙古大学 131 4★ 中国高水平大学
45 新疆大学 132 5★ 中国一流大学
46 华侨大学 136 3★ 区域一流大学
47 贵州大学 142 4★ 中国高水平大学
48 海南大学 148 3★ 区域一流大学
49 湖北大学 150 3★ 区域一流大学
50 汕头大学 158 3★ 区域一流大学
51 湖南科技大学 161 3★ 区域一流大学
52 青岛大学 167 3★ 区域一流大学
53 长江大学 174 3★ 区域一流大学
54 大连大学 179 3★ 区域一流大学
55 济南大学 183 3★ 区域一流大学
56 温州大学 198 3★ 区域一流大学
57 三峡大学 204 3★ 区域一流大学
58 南通大学 206 3★ 区域一流大学
59 集美大学 207 2★ 区域高水平大学
60 石河子大学 211 3★ 区域一流大学
61 延边大学 220 3★ 区域一流大学
62 台州学院 232 3★ 区域一流大学
63 沈阳大学 242 3★ 区域一流大学
64 南华大学 247 3★ 区域一流大学
65 烟台大学 253 2★ 区域高水平大学
66 宁夏大学 256 3★ 区域一流大学
67 湖北文理学院 258 3★ 区域一流大学
68 北华大学 259 2★ 区域高水平大学
68 五邑大学 259 2★ 区域高水平大学
70 青海大学 269 3★ 区域一流大学
71 聊城大学 275 2★ 区域高水平大学
72 成都大学 277 3★ 区域一流大学
73 内蒙古科技大学 281 2★ 区域高水平大学
74 鲁东大学 296 2★ 区域高水平大学
74 西华大学 296 2★ 区域高水平大学
76 吉首大学 305 2★ 区域高水平大学
77 塔里木大学 307 2★ 区域高水平大学
78 西藏大学 315 3★ 区域一流大学
79 齐齐哈尔大学 318 2★ 区域高水平大学
80 延安大学 323 2★ 区域高水平大学
81 渤海大学 328 2★ 区域高水平大学
81 佳木斯大学 328 2★ 区域高水平大学
81 韶关学院 328 2★ 区域高水平大学
84 绍兴文理学院 332 3★ 区域一流大学
85 肇庆学院 341 2★ 区域高水平大学
86 江汉大学 344 2★ 区域高水平大学
86 长春大学 344 2★ 区域高水平大学
88 惠州学院 349 2★ 区域高水平大学
89 嘉兴学院 350 1★ 区域知名大学
90 嘉应学院 354 2★ 区域高水平大学
91 北京联合大学 357 2★ 区域高水平大学
